kanji,meaning
朽,decadencia
朽,descomponerse
朽,corromperse
朽,pudrirse
朽,arruinarse
求,petición
求,demanda
求,buscar
求,pedir
求,demandar
求,reclamar
求,desear
汲,achicar
汲,"bombear (agua)"
汲,sacar
汲,vaciar
汲,irritar
汲,ocupado
泣,llorar
泣,gemir
泣,"cantar (pájaros)"
灸,"curación estilo moxa"
球,pelota
球,esfera
究,estudio
究,investigación
究,profundización
究,último
究,final
究,dominar
究,"profundizar en el estudio de"
窮,final
窮,extremo
窮,finalizar
窮,acabar
窮,"llevar al extremo"
窮,"llevar a cabo"
級,clase
級,rango
級,grado
糾,reunir
糾,retorcer
糾,enredar
糾,investigar
糾,examinar
給,sueldo
給,salario
給,distribuir
給,suministrar
旧,antiguo
旧,viejo
旧,"viejos tiempos"
牛,vaca
牛,ganado
去,pasado
去,ido
去,dejar
去,abandonar
去,partir
居,sentarse
居,residir
居,"vivir con"
居,"ser [nk]"
居,existir
巨,gigantesco
巨,grande
巨,gran
拒,repeler
拒,rehusar
拒,rechazar
拒,declinar
拠,autoridad
拠,firmeza
拠,"depender de"
拠,"basarse en"
挙,"tener lugar"
挙,elevar
挙,completamente
挙,levantar
挙,"poner un ejemplo"
挙,prosperar
虚,vacío
虚,vano
虚,hueco
許,permitir
許,perdonar
許,dejar
許,excusar
距,"larga distancia"
距,distante
距,separar
鋸,"sierra (para madera o metal)"
漁,pesca
魚,pez
魚,pescado
亨,pasar
亨,entregar
享,"recibir tratamiento"
享,"recibir atención"
享,conseguir
享,divertir
京,capital
供,ofrecer
供,entregar
供,expresar
供,mencionar
供,acompañante
競,competir
競,rivalizar
競,comparar
共,ambos
共,conjuntamente
共,juntos
共,también
凶,mal
凶,maldad
凶,desastre
凶,calamidad
協,cooperación
協,colaboración
匡,corregir
匡,rectificar
匡,ayudar
匡,salvar
卿,"alto cargo"
卿,"ministro de estado"
叫,grito
叫,exclamar
叫,gritar
喬,alto
境,límite
境,frontera
境,región
境,circunstancia
境,borde
峡,desfiladero
峡,barranco
峡,garganta
強,fuerte
強,coacción
強,poderoso
強,obligar
強,forzar
強,coaccionar
恐,miedo
恐,temor
恐,sobrecogimiento
恐,"tener miedo"
恐,temer
恐,temible
恐,pavoroso
恐,espantoso
恭,respeto
恭,reverencia
挟,insertar
挟,interponer
挟,intercalar
挟,"meter entre"
挟,"unir (dos extremos)"
教,educación
教,enseñanza
教,enseñar
教,instruir
教,"ser enseñado"
橋,puente
況,condición
況,situación
況,"estado de las cosas"
狂,locura
狂,desorden
狂,enloquecer
狂,loco
狂,demente
狭,apretado
狭,estrecho
狭,encogido
狭,estrecharse
狭,encogerse
狭,estrechar
狭,angosto
矯,rectificar
矯,enderezar
矯,corregir
胸,pecho
胸,corazón
胸,sentimientos
脅,amenaza
脅,coacción
脅,amenazar
脅,coaccionar
興,popularizarse
興,popularizar
興,interés
興,prosperar
興,"poner en marcha"
興,promover
郷,"ciudad natal"
郷,pueblo
郷,"lugar donde hay algo especial"
鏡,espejo
鏡,espéculo
鏡,lente
響,eco
響,vibración
響,"hacer eco"
響,resonar
響,vibrar
驚,admiración
驚,asombro
驚,sorpresa
驚,"estar sorprendido"
驚,asombrarse
驚,sorprenderse
仰,admirar
仰,respetar
仰,"mirar hacia arriba"
仰,instrucciones
凝,rigidez
凝,endurecimiento
凝,entumecimiento
凝,endurecerse
凝,"ser absorbido"
凝,"crecer erecto"
尭,"Yao (rey de la Antigua China)"
尭,alto
尭,lejano
尭,lejos
暁,aurora
暁,madrugada
暁,amanecer
業,negocio
業,industria
業,trabajo
局,oficina
局,departamento
曲,melodía
曲,curva
曲,encorvado
曲,torcer
曲,doblar
曲,torcerse
曲,girarse
極,"polo terrestre o magnético"
極,muy
極,sumamente
極,extremadamente
極,"alcanzar un extremo"
玉,joya
玉,esfera
玉,bola
玉,pelota
桐,"paulonia (planta)"
僅,meramente
僅,simplemente
僅,"un poquito"
僅,"al final"
僅,"por fin"
勤,tarea
勤,trabajo
勤,deber
勤,"servicio diario"
勤,servir
勤,"desempeñar un cargo"
勤,"ser adecuado para"
均,nivel
均,promedio
巾,paño
巾,tela
巾,anchura
巾,"algo que se pone en la cabeza"
錦,brocado
錦,"vestido fino"
錦,bello
斤,"antigua medida de peso (1.32 libras)"
欣,alegrarse
欣,divertirse
欽,respetar
欽,reverenciar
欽,venerar
琴,koto
琴,"arpa japonesa"
禁,prohibición
禁,proscripción
禁,prohibir
筋,músculo
筋,tendón
筋,fibra
筋,trama
筋,argumento
筋,linaje
緊,severo
緊,estricto
緊,tensar
緊,apretar
緊,apremiante
緊,urgente
芹,perejil
菌,germen
菌,hongo
菌,bacteria
衿,cuello
衿,solapa
襟,cuello
襟,solapa
襟,corazón
襟,pensamiento
謹,discreto
謹,respetuoso
謹,humilde
謹,"ser discreto"
謹,"ser respetuoso"
謹,"ser humilde"
近,cerca
近,cercano
金,oro
金,dinero
金,metal
吟,tararear
吟,canturrear
吟,gemir
吟,quejarse
銀,plata
九,nueve
九,9
句,frase
句,cláusula
句,sentencia
句,oración
句,párrafo
区,barrio
区,distrito
区,sección
玖,"joya negra"
玖,nueve
矩,regla
矩,criterio
矩,estándar
矩,cuadrado
矩,"escuadra de carpintero"
苦,sufrimiento
苦,pena
苦,doloroso
苦,penoso
苦,trabajoso
苦,amargo
駆,galopar
駆,"hacer correr a un caballo"
駆,avanzar
駒,potro
駒,caballo
